Code,Company			,Sector,Market Cap,Weight(%)
EXP,Experience Co Limited,Consumer Discretionary,"192,169,000",0.01
FLN,Freelancer Limited,Consumer Discretionary,"412,728,000",0.02
FLT,Flight Centre Travel,Consumer Discretionary,"4,937,860,000",0.28
FWD,Fleetwood Corp,Consumer Discretionary,"199,530,000",0.01
GEM,G8 Education Limited,Consumer Discretionary,"1,275,060,000",0.07
GTN,GTN Limited,Consumer Discretionary,"429,216,000",0.02
GUD,G.U.D. Holdings,Consumer Discretionary,"1,056,860,000",0.06
GXL,Greencross Limited,Consumer Discretionary,"650,503,000",0.04
HLO,Helloworld Travl Limited,Consumer Discretionary,"745,803,000",0.04
HT1,HT&E Limited,Consumer Discretionary,"543,685,000",0.03
HVN,Harvey Norman,Consumer Discretionary,"3,727,970,000",0.21
IEL,Idp Education Limited,Consumer Discretionary,"2,325,630,000",0.13
IGL,Ivegroup,Consumer Discretionary,"309,694,000",0.02
ISU,Iselect Limited,Consumer Discretionary,"151,933,000",0.01
IVC,Invocare Limited,Consumer Discretionary,"1,297,720,000",0.07
JBH,JB Hi-Fi Limited,Consumer Discretionary,"2,661,850,000",0.15
JIN,Jumbo Interactive,Consumer Discretionary,"489,154,000",0.03
KGN,Kogan.com Limited,Consumer Discretionary,"300,803,000",0.02
KMD,Kathmandu Hold Limited,Consumer Discretionary,"568,968,000",0.03
LOV,Lovisa Holdings Limited,Consumer Discretionary,"807,580,000",0.05
MHJ,Michael Hill Int,Consumer Discretionary,"236,337,000",0.01
MRN,MACQ Media Limited,Consumer Discretionary,"308,951,000",0.02
MTO,Motorcycle HLDG,Consumer Discretionary,"117,551,000",0.01
MYR,Myer Holdings Limited,Consumer Discretionary,"373,682,000",0.02
NBL,Noni B Limited,Consumer Discretionary,"280,651,000",0.02
NCK,Nick Scali Limited,Consumer Discretionary,"429,300,000",0.02
NEC,Nine Entertainment,Consumer Discretionary,"1,529,260,000",0.09
NVT,Navitas Limited,Consumer Discretionary,"1,780,510,000",0.1
NWS,News Corp Class B Voting Common Stock-Cdi,Consumer Discretionary,"1,011,500,000",0.06
NZM,NZME Limited Foreign Exempt NZX,Consumer Discretionary,"92,125,300",0.01
OML,Ooh!Media Limited,Consumer Discretionary,"1,019,920,000",0.06
PFP,Propel Funeral,Consumer Discretionary,"256,206,000",0.01
PMV,Premier Investments,Consumer Discretionary,"2,643,260,000",0.15
PWH,PWR Holdings Limited,Consumer Discretionary,"370,000,000",0.02
QMS,QMS Media Limited,Consumer Discretionary,"301,357,000",0.02
RBL,Redbubble Limited,Consumer Discretionary,"295,120,000",0.02
RFG,Retail Food Group,Consumer Discretionary,"68,529,600",0
RHL,Ruralco Holdings,Consumer Discretionary,"320,094,000",0.02
SGH,Slater & Gordon,Consumer Discretionary,"166,865,000",0.01
SGR,The Star Ent Group,Consumer Discretionary,"4,017,870,000",0.22
SKC,Skycity Ent Group Limited Foreign Exempt NZX,Consumer Discretionary,"2,186,720,000",0.12
SKT,Sky Network,Consumer Discretionary,"863,890,000",0.05
SLK,Sealink Travel Group,Consumer Discretionary,"430,224,000",0.02
SUL,Super Ret Rep Limited,Consumer Discretionary,"1,444,850,000",0.08
SWM,Seven West Media Limited,Consumer Discretionary,"1,025,460,000",0.06
SXL,STHN Cross Media,Consumer Discretionary,"830,535,000",0.05
TAH,Tabcorp Holdings Limited,Consumer Discretionary,"8,647,020,000",0.48
TME,Trade Me Group Foreign Exempt NZX,Consumer Discretionary,"2,254,770,000",0.13
VRL,Village Roadshow Limited,Consumer Discretionary,"472,885,000",0.03
VTG,Vita Group Limited,Consumer Discretionary,"177,626,000",0.01
WEB,Webjet Limited,Consumer Discretionary,"1,573,770,000",0.09
WES,Wesfarmers Limited,Consumer Discretionary,"35,818,000,000",2
WPP,WPP AUNZ Limited,Consumer Discretionary,"528,334,000",0.03
